Human.associated.gene.name	Associated.Gene.Name
NOS1	Nos1
RRBP1	Rrbp1
CLEC7A	Clec7a
COL3A1	Col3a1
HOXC6	Hoxc6
HGD	Hgd
TMEM123	Tmem123
BNC2	Bnc2
R3HDM1	R3hdm1
HOXC9	Hoxc9
PRPF19	Prpf19
MYO5C	Myo5c
ZFP57	Zfp57
C10orf10	8430408G22Rik
TRAV1-1	Trav1
TRAV1-2	Trav1
SLC10A4	Slc10a4
ZNF426	Zfp426
RASSF4	Rassf4
COQ8A	Coq8a
KCNH7	Kcnh7
HNRNPH3	Hnrnph3
ZNF788	Zfp617
CAB39	Cab39
BCL11A	Bcl11a
KNDC1	Kndc1
TRA2A	Tra2a
AMPD1	Ampd1
UBAP2	Ubap2
GXYLT1	Gxylt1
SYN1	Syn1
EXOSC2	Exosc2
CTC-479C5.12	Psmb10
PSMB10	Psmb10
NUDT8	Nudt8
MRPL9	Mrpl9
COPS6	Cops6
GCA	Gca
BOK	Bok
FAM98A	Fam98a
VPS25	Vps25
ANKRD9	Ankrd9
OR4E2	Olfr1509
MYO3B	Myo3b
NUDT12	Nudt12
DEFB106A	Defb34
DEFB106B	Defb34
ADGRG7	Adgrg7
TIMP1	Timp1
BANF2	Banf2
HIST2H2AC	Hist2h2ac
GPR143	Gpr143
RUFY2	Rufy2
BFSP2	Bfsp2
BEAN1	Bean1
RAI2	Rai2
GLT6D1	Glt6d1
TMEM233	Tmem233
RAMP3	Ramp3
SELENOM	Selenom
ADAMTSL2	Adamtsl2
TULP1	Tulp1
EFCAB5	Efcab5
MRPS18B	Mrps18b
ADCYAP1R1	Adcyap1r1
VAX1	Vax1
FCRLA	Fcrla
RP11-98L5.5	Gm13539
FGD5	Fgd5
TMEM56-RWDD3	Tmem56
MRPS31	Mrps31
NHS	Nhs
TMEM108	Tmem108
TAF6	Taf6
FFAR2	Ffar2
FTO	Fto
VNN3	Vnn3
LARS2	Lars2
VCP	Vcp
LYNX1	Slurp2
UTF1	Utf1
C17orf58	1810010H24Rik
TCF7	Tcf7
GDF5	Gdf5
EMSY	Emsy
GDF5OS	Gm15557
SPAG11A	RP23-100C12.1
SPAG11B	RP23-100C12.1
TAGAP	Tagap
CTNNA2	Ctnna2
ZYG11B	Zyg11b
DPYSL3	Dpysl3
RFC1	Rfc1
MRGPRX1	Mrgpra4
MRGPRX2	Mrgpra4
MRGPRX4	Mrgpra4
MRGPRX3	Mrgpra4
FEV	Fev
COG4	Cog4
DAP3	Dap3
NTN4	Ntn4
CDC42BPA	Cdc42bpa
MRGPRX1	Mrgprx1
MRGPRX2	Mrgprx1
MRGPRX4	Mrgprx1
MRGPRX3	Mrgprx1
SAG	Sag
PRRG1	Prrg1
DTWD2	Dtwd2
PCBP3	Pcbp3
SUPT20H	Supt20
IPO11	Ipo11
TRMT10B	Trmt10b
PPIL6	Ppil6
DNAJB11	Dnajb11
ZNF444	Zfp444
C9orf131	1700022I11Rik
GPR42	Ffar3
FFAR3	Ffar3
BCL2L12	Bcl2l12
IL21R	Il21r
KDM6A	Kdm6a
NSMF	Nsmf
PRDM10	Prdm10
RAMP2	Ramp2
TMEM59L	Tmem59l
USP51	Usp51
ICOS	Icos
PDE7A	Pde7a
DYNC1I1	Dync1i1
NTNG1	Ntng1
PAICS	Paics
BMS1	Bms1
IRF3	Irf3
TTC19	Ttc19
C20orf173	6430550D23Rik
IPO9	Ipo9
NT5M	Nt5m
FEZ2	Fez2
PLEKHG5	Plekhg5
HAND1	Hand1
WASF2	Wasf2
LRRTM1	Lrrtm1
INCA1	Inca1
CD8B	Cd8b1
PLLP	Pllp
SAXO2	Saxo2
BORCS6	Borcs6
CEP250	Cep250
KRT17	Krt17
FFAR1	Ffar1
CHODL	Chodl
TIMM8A	Timm8a1
ADGRF2	Adgrf2
COPS3	Cops3
HEMK1	Hemk1
MAGEH1	Mageh1
SPINK13	Spink13
PBDC1	Pbdc1
KRTAP13-3	2310034C09Rik
PITPNM3	Pitpnm3
PIGL	Pigl
KRTAP13-3	2310057N15Rik
DLGAP3	Dlgap3
ASIC5	Asic5
PPAT	Ppat
CCDC171	Ccdc171
HRG	Hrg
MGME1	Mgme1
KRTAP15-1	Krtap15
ARX	Arx
MEGF9	Megf9
ADAM8	Adam8
EXOSC8	Exosc8
SF3B3	Sf3b3
WDR97	Gm35339
NCOR1	Ncor1
CCL22	Ccl22
ITM2C	Itm2c
MTA2	Mta2
CD164	Cd164
FAM71E2	Fam71e2
SCPEP1	Scpep1
TMEM107	Tmem107
CCDC60	Ccdc60
SNX5	Snx5
SLCO2B1	Slco2b1
ADGRF1	Adgrf1
MAST3	Mast3
OTOF	Otof
LSM1	Lsm1
SOX21	Sox21
PXDC1	Pxdc1
EMX2	Emx2
EPS8	Eps8
QSOX1	Qsox1
NAT10	Nat10
ABHD8	Abhd8
OLR1	Olr1
RP11-506B6.7	Rfpl4b
TMEM45A	Tmem45a
FOXR2	Foxr2
DLG4	Dlg4
NUP62CL	Nup62cl
CRLF1	Crlf1
SSH2	Ssh2
SYNE2	Syne2
MRGPRX1	Mrgprb5
MRGPRX2	Mrgprb5
MRGPRX4	Mrgprb5
MRGPRX3	Mrgprb5
DHRS7	Gm4756
EFNA5	Efna5
MRGPRX1	Mrgprb4
MRGPRX2	Mrgprb4
MRGPRX4	Mrgprb4
MRGPRX3	Mrgprb4
CXCL11	Cxcl11
LNP1	Lnp1
GPR55	Gpr55
CCDC130	Ccdc130
SPRYD3	Spryd3
CXCL10	Cxcl10
WBSCR28	Wbscr28
DEFB103B	Defb14
DEFB103A	Defb14
DST	Dst
CYP4A11	Cyp4a31
CYP4A22	Cyp4a31
WLS	Wls
TRAV4	Trav2
TRADD	Tradd
CRYBA2	Cryba2
ART3	Art3
LIMD1	Limd1
NFU1	Nfu1
USP44	Usp44
FAM13A	Fam13a
SMIM19	Smim19
TRAV5	Trav3-1
CNNM4	Cnnm4
IQSEC2	Iqsec2
SGK3	Sgk3
C8orf44-SGK3	Sgk3
ARAP1	Arap1
ASH1L	Ash1l
FAM163B	Fam163b
SLC20A2	Slc20a2
GUK1	Guk1
C4orf48	Gm1673
CD200R1L	Cd200r4
CD200R1	Cd200r4
CYP4F3	Cyp4f18
CYP4F2	Cyp4f18
CYP4F11	Cyp4f18
CYP4F8	Cyp4f18
CYP4F12	Cyp4f18
NPTX2	Nptx2
OTUD6B	Otud6b
PDPR	Pdpr
OVOL2	Ovol2
SCAPER	Scaper
TMEM52B	Tmem52b
SYMPK	Sympk
SH2D2A	Sh2d2a
SCML2	Scml2
DDB2	Ddb2
AMT	Amt
ECI2	Eci3
TTC21B	Ttc21b
LRP1B	Lrp1b
MRPL34	Mrpl34
C5orf42	2410089E03Rik
VNN1	Vnn1
USP39	Usp39
YAF2	Yaf2
MEP1A	Mep1a
TXLNB	Txlnb
CLPTM1	Clptm1
C6orf201	4933417A18Rik
SARM1	Sarm1
IKBKG	Ikbkg
OR6C74	Olfr821
ACP2	Acp2
TRAV13-1	Trav5-1
TRAV13-2	Trav5-1
ZWILCH	Zwilch
STEAP4	Steap4
RRAGB	Rragb
NUF2	Nuf2
DPY19L4	Dpy19l4
SACM1L	Sacm1l
TMEM130	Tmem130
THNSL1	Thnsl1
NARFL	Narfl
TMEM55A	Tmem55a
LSM2	Lsm2
SLC44A1	Slc44a1
MSANTD1	Msantd1
MAGEE1	Magee1
BAG3	Bag3
CLDN10	Cldn10
PSD3	Psd3
HTT	Htt
ERGIC3	Ergic3
ALG14	Alg14
TRAV9-2	Trav6-1
HIST1H2BJ	Hist2h2be
C3orf18	6430571L13Rik
AGT	Agt
RP11-618P17.4	Pdcd2l
PDCD2L	Pdcd2l
SLC6A20	Slc6a20b
KAT2B	Kat2b
SCRN1	Scrn1
SRI	Sri
ZNF248	Zfp248
C16orf96	4930562C15Rik
POLA1	Pola1
BCAS3	Bcas3
METTL2B	Mettl2
METTL2A	Mettl2
ASUN	Asun
HIST1H2AI	Hist2h2aa2
HIST1H2AL	Hist2h2aa2
HIST1H2AK	Hist2h2aa2
MUTYH	Mutyh
TCTA	Tcta
ZNF812P	Zfp266
ZNF561	Zfp266
ZNF562	Zfp266
KLK7	Klk7
PERM1	Perm1
HAGHL	Haghl
CHN2	Chn2
GTF3C1	Gtf3c1
FAM98C	Fam98c
TRAV12-3	Trav7-1
TRAV12-1	Trav7-1
TRAV12-2	Trav7-1
SMYD4	Smyd4
HIST2H3A	Hist2h3c1
IDI1	Idi1
TRAV9-2	Trav6-2
SLFN13	Slfn9
SLFN11	Slfn9
LCTL	Lctl
INSL6	Insl6
TRAV12-3	Trav7d-2
TRAV12-1	Trav7d-2
TRAV12-2	Trav7d-2
FCGR2C	Fcgr2b
FCGR2A	Fcgr2b
FCGR2B	Fcgr2b
RAB39B	Rab39b
LCN9	Lcn9
MAN2B1	Man2b1
FGFR1OP2	Fgfr1op2
APLN	Apln
KAT14	Csrp2bp
ANKRD52	Ankrd52
HOXC4	Hoxc4
OGT	Ogt
INPP5F	Inpp5f
CAPN9	Capn9
TRAV9-2	Trav6d-3
OR9K2	Olfr825
RASGRP4	Rasgrp4
FIGN	Fign
TMPRSS3	Tmprss3
ZNF25	Zfp9
OR9K2	Olfr826
FAM47C	Fam47c
FAM47A	Fam47c
FAM47B	Fam47c
TMEM72	Tmem72
TAF9	Ak6
DGKD	Dgkd
SYP	Syp
ZNF551	Zfp551
C2orf68	0610030E20Rik
DBH	Dbh
PET117	Pet117
XKR8	Xkr8
CNN3	Cnn3
TAF9	Taf9
SPATA3	Spata3
BLOC1S4	Bloc1s4
VPS33B	Vps33b
CPA1	Cpa1
PLA2G7	Pla2g7
AKAP9	Akap9
DZANK1	Dzank1
NABP2	Nabp2
PRKCSH	Prkcsh
RETN	Retn
DDA1	Dda1
ATG4B	Atg4b
G6PD	G6pdx
GPR158	Gpr158
SPIN2A	Gm21118
SPIN2B	Gm21118
USP40	Usp40
SPIN2A	Gm29644
SPIN2B	Gm29644
CFAP65	Ccdc108
NDUFV1	Ndufv1
SPAG4	Spag4
EP400	Ep400
DENND2C	Dennd2c
ANO8	Ano8
DNAH11	Dnah11
CSK	Csk
FBXL17	Fbxl17
LY6D	Ly6d
RAB11FIP2	Rab11fip2
ALS2CR11	Als2cr11
ITIH1	Itih1
HSPB8	Hspb8
PHACTR1	Phactr1
OR8D2	Olfr924
IL11	Il11
CBX5	Cbx5
SULF1	Sulf1
THAP4	Thap4
EFR3A	Efr3a
PIH1D3	Pih1h3b
KLF8	Klf8
PRR15	Prr15
WBSCR27	Wbscr27
WIPF3	Wipf3
SPIN2A	Gm21778
SPIN2B	Gm21778
LY6K	Ly6k
MCMBP	Mcmbp
SLC6A11	Slc6a11
POLR3F	Polr3f
CYP51A1	Cyp51
MRFAP1L1	Mrfap1
MRFAP1	Mrfap1
PPIF	Ppif
CCDC36	Ccdc36
PUS7	Pus7
NGRN	Ngrn
RP11-77K12.1	Tmem170
TMEM170A	Tmem170
TLK2	Tlk2
TRAV12-3	Trav7d-3
TRAV12-1	Trav7d-3
TRAV12-2	Trav7d-3
LARP1	Larp1
C4orf33	D3Ertd751e
C11orf52	2310030G06Rik
FGFR1OP	Fgfr1op
CDCA3	Cdca3
USP4	Usp4
ZNF606	Zfp606
ZFP14	Zfp14
GATA3	Gata3
TRAV9-2	Trav6d-4
NECAB1	Necab1
ZP1	Zp1
COA7	Coa7
PTPA	Ptpa
ATP4A	Atp4a
H2AFZ	H2afz
RP11-599B13.6	Vamp2
VAMP2	Vamp2
KCTD11	Kctd11
TAAR2	Taar2
CD8A	Cd8a
AFF3	Aff3
CD200R1L	Cd200r2
CD200R1	Cd200r2
RBBP9	Rbbp9
SOHLH1	Sohlh1
GABARAPL1	Gabarapl1
IL12A	Il12a
CDCA7L	Cdca7l
CRYAB	Cryab
SEC23IP	Sec23ip
PDE2A	Pde2a
GRID2IP	Grid2ip
CD22	Cd22
TK2	Tk2
WDFY1	Wdfy1
QDPR	Qdpr
ALKBH5	Alkbh5
IGFBP6	Igfbp6
TMEM190	Tmem190
CNNM3	Cnnm3
VTN	Vtn
TNFRSF25	Tnfrsf25
HSPB2	Hspb2
HSPB2-C11orf52	Hspb2
ZCCHC24	Zcchc24
NDUFS5	Ndufs5
DMXL1	Dmxl1
FLJ22763	RP23-383B20.1
GALNT6	Galnt6
TAAR5	Taar5
CLDN4	Cldn4
FAM159A	Fam159a
ZC3HC1	Zc3hc1
EIF1	Eif1
CLDN3	Cldn3
TAAR6	Taar6
APOC2	Gm44805
APOC4-APOC2	Gm44805
SLC30A3	Slc30a3
KLK6	Klk6
APOC2	Apoc2
APOC4-APOC2	Apoc2
RNF181	Rnf181
MYO1C	Myo1c
TDRD6	Tdrd6
GPX7	Gpx7
DUSP11	Dusp11
APOC4	Apoc4
OR8D1	Olfr26
RACGAP1	Racgap1
MCEMP1	Mcemp1
RAD50	Rad50
FILIP1L	Filip1l
AKIRIN1	Akirin1
NFS1	Nfs1
CADM1	Cadm1
KIAA0556	D430042O09Rik
FGF16	Fgf16
PRCC	Prcc
COIL	Coil
CAPRIN1	Caprin1
RHBDL2	Rhbdl2
TAAR8	Taar8a
HIST2H2BF	Hist2h2bb
TAAR8	Taar8b
TMEM150A	Tmem150a
IHH	Ihh
AP2M1	Ap2m1
GAST	Gast
TAAR8	Taar8c
DNAJC5G	Dnajc5g
COL8A1	Col8a1
FRYL	Fryl
TAAR9	Taar9
C1orf198	2310022B05Rik
GABRR2	Gabrr2
REG3G	Reg3b
REG3A	Reg3b
ZEB1	Zeb1
CHD8	Chd8
ZNF791	Zfp791
GPX1	Gpx1
TIGD2	Tigd2
GNB3	Gnb3
ATP2B3	Atp2b3
PRMT6	Prmt6
MRPL44	Mrpl44
KDELR2	Kdelr2
C3orf62	1700102P08Rik
RBM12	Gm28036
ARHGEF1	Arhgef1
IFNAR1	Ifnar1
TBC1D21	Tbc1d21
MRGPRX1	Mrgprb8
MRGPRX2	Mrgprb8
MRGPRX4	Mrgprb8
MRGPRX3	Mrgprb8
KLK5	Klk5
FAM45A	Fam45a
FRMPD3	Frmpd3
B3GALT5	B3galt5
PLA2G12B	Pla2g12b
ZCCHC11	Zcchc11
CEP350	Cep350
NFE2	Nfe2
CYP4A11	Cyp4a32
CYP4A22	Cyp4a32
MRPS25	Mrps25
ZNF566	Zfp566
FCGR1A	Fcgr1
FCGR1B	Fcgr1
NR2C2	Nr2c2
PGPEP1L	Pgpep1l
ZFP82	Zfp82
COL22A1	Col22a1
CPNE1	Cpne1
GLTSCR1	Gltscr1
DAGLB	Daglb
UBALD1	Ubald1
IL5RA	Il5ra
LAMA4	Lama4
FBXO48	Fbxo48
PLAC8	Plac8
GALP	Galp
CFAP47	Gm7173
LNPK	Lnpk1
KRTAP11-1	Krtap11-1
IDI2	Gm9745
ENPP5	Enpp5
HHIP	Hhip
RPS9	Rps9
SLC39A12	Slc39a12
RAC1	Rac1
GML	Gml
LRIF1	Lrif1
SEBOX	Sebox
FERMT2	Fermt2
PARD3B	Pard3b
TTLL11	Ttll11
CX3CL1	Cx3cl1
SOAT2	Soat2
SLC1A3	Slc1a3
FBXL8	Fbxl8
RP11-5A19.5	Fbxl8
CCDC86	Ccdc86
C11orf54	4931406C07Rik
TBX21	Tbx21
ABHD11	Abhd11
PTGDR2	Ptgdr2
MARS2	Mars2
CXCL12	Cxcl12
ZSCAN5C	Zscan5b
ZSCAN5A	Zscan5b
ZSCAN5B	Zscan5b
TRRAP	Trrap
ECI2	Eci2
KLK4	Klk4
VDAC1	Vdac1
TJP1	Tjp1
C19orf18	2900092C05Rik
GUCY1B3	Gucy1b3
GABRR1	Gabrr1
GPRIN3	Gprin3
MRPL55	Mrpl55
MOXD1	Moxd1
FAM169B	Fam169b
MRGPRX1	Mrgprb1
MRGPRX2	Mrgprb1
MRGPRX4	Mrgprb1
MRGPRX3	Mrgprb1
MAGEB16	Mageb16
NHEJ1	Nhej1
KCTD9	Kctd9
STRA8	Stra8
PCYT1B	Pcyt1b
CYP11B2	Cyp11b1
CYP11B1	Cyp11b1
BIRC2	Birc2
TAF1D	Taf1d
TRIM25	Trim25
OR8D2	Olfr926
MOG	Mog
GML	Gml2
SLC25A13	Slc25a13
RMND5A	Rmnd5a
TAF3	Taf3
SSBP3	Ssbp3
MYCBP	Mycbp
RP5-864K19.6	Mycbp
STRAP	Strap
OIT3	Oit3
GJB4	Gjb4
SLC6A1	Slc6a1
BTK	Btk
SH2D4A	Sh2d4a
SPEG	Speg
PLPP4	Plpp4
DEK	Dek
C22orf39	2510002D24Rik
FANCG	Fancg
UBE2Q1	Ube2q1
CLCA1	Clca1
KNG1	Kng2
CD164L2	Cd164l2
MRPL40	Mrpl40
MRGPRX1	Mrgprx2
MRGPRX2	Mrgprx2
MRGPRX4	Mrgprx2
MRGPRX3	Mrgprx2
TMEFF2	Tmeff2
HIRA	Hira
GPR3	Gpr3
HAP1	Hap1
TBKBP1	Tbkbp1
TPM4	Tpm4
ITGB2	Itgb2l
SLC23A3	Slc23a3
GJB5	Gjb5
P3H3	P3h3
PIK3C2B	Pik3c2b
C11orf1	1110032A03Rik
DCBLD2	Dcbld2
WDR11	Wdr11
FBXO21	Fbxo21
TMEM64	Tmem64
TMPRSS15	Tmprss15
MEI4	Mei4
NCBP3	Ncbp3
OR8D1	Olfr930
CEP295	Cep295
MEX3B	Mex3b
ENPP4	Enpp4
IDI2	Idi2
CCDC39	Ccdc39
GFPT1	Gfpt1
FDXACB1	Fdxacb1
GPM6A	Gpm6a
CLCN4	Clcn4
MAN2B2	Man2b2
METAP2	Metap2
LARP7	Larp7
CNRIP1	Cnrip1
AXL	Axl
TMEM199	Tmem199
ST3GAL6	St3gal6
MRGPRX1	Mrgprb2
MRGPRX2	Mrgprb2
MRGPRX4	Mrgprb2
MRGPRX3	Mrgprb2
PCP4	Pcp4
RP11-108O10.8	Alg9
ALG9	Alg9
PLEK	Plek
IGSF5	Igsf5
MRGPRX1	Mrgprb3
MRGPRX2	Mrgprb3
MRGPRX4	Mrgprb3
MRGPRX3	Mrgprb3
TTC14	Ttc14
SP5	Sp5
RHBDF2	Rhbdf2
DNAJB14	Dnajb14
PUS1	Pus1
TRAV12-3	Trav7d-4
TRAV12-1	Trav7d-4
TRAV12-2	Trav7d-4
GGA3	Gga3
SVBP	Svbp
PRR27	Prr27
VDAC3	Vdac3
DEPDC5	Depdc5
RLN2	Rln1
RLN1	Rln1
XPNPEP1	Xpnpep1
STAR	Star
KLK3	Klk1b8
KLK2	Klk1b8
KLK1	Klk1b8
ANKRD26	Ankrd26
NAA10	Naa10
NGB	Ngb
FEZ1	Fez1
UBXN4	Ubxn4
RRAGC	Rragc
GRAMD2	Gramd2
SERPINF1	Serpinf1
KLK15	Klk15
GAD1	Gad1
LONRF2	Lonrf2
CYP4B1	Cyp4b1
CCL17	Ccl17
KLK3	Klk1b9
KLK2	Klk1b9
KLK1	Klk1b9
KCNMB3	Kcnmb3
ZNF541	Zfp541
ANXA11	Anxa11
KLK3	Klk1b1
KLK2	Klk1b1
KLK1	Klk1b1
CHRNB3	Chrnb3
IFNGR2	Ifngr2
MYH4	Myh4
FKBP5	Fkbp5
SIX6	Six6
DCAF10	Dcaf10
PRPF38A	Prpf38a
UBQLN2	Ubqln2
ZNF260	Zfp260
TRAV17	Trav8d-1
C14orf39	4930447C04Rik
SNCA	Snca
PAQR3	Paqr3
SLC19A1	Slc19a1
TTC13	Ttc13
C19orf60	2810428I15Rik
RILP	Rilp
MIF4GD	Mif4gd
STARD8	Stard8
ZNF740	Zfp740
TAS2R14	Tas2r115
CD53	Cd53
CTR9	Ctr9
CLCN7	Clcn7
EXOSC3	Exosc3
GALNTL5	Galntl5
TAS2R13	Tas2r124
IER5L	Ier5l
SFXN4	Sfxn4
COQ2	Coq2
BMP2K	Bmp2k
TRAV8-1	Trav9d-1
TRAV8-3	Trav9d-1
MED28	Med28
CLCA2	Clca2
TRAV9-1	Trav6d-5
TAS2R13	Tas2r102
TOP2B	Top2b
OR4C15	Olfr1228
ERICH2	Erich2
TMEM238	Tmem238
MTF2	Mtf2
SRP72	Srp72
PM20D2	Pm20d2
FGFR4	Fgfr4
SP110	Sp110
AC009950.1	Sp110
RAB40C	Rab40c
GUCY1A3	Gucy1a3
OR4C15	Olfr1229
DGKE	Dgke
YIPF1	Yipf1
PACSIN3	Pacsin3
PJA2	Pja2
MRPS7	Mrps7
OR4C6	Olfr1230
MCU	Mcu
COL18A1	Col18a1
DKK4	Dkk4
GYPA	Gypa
EVC2	Evc2
NAT8L	Nat8l
REPS2	Reps2
CACNA2D2	Cacna2d2
PREP	Prep
OR4C15	Olfr1232
PRRC2A	Prrc2a
KIAA1109	4932438A13Rik
EEF1G	Eef1g
FAM171B	Fam171b
C1orf94	CK137956
BPTF	Bptf
GNAT3	Gnat3
UBE2S	Ube2s
WFIKKN1	Wfikkn1
OR4A15	Olfr1234
NAPG	Napg
DCAF12	Dcaf12
CTGF	Ctgf
CDK9	Cdk9
PIGQ	Pigq
CIAPIN1	Ciapin1
TMEM120B	Tmem120b
OR4A16	Olfr1238
OR4A8	Olfr1238
OR4A5	Olfr1238
RPL28	Rpl28
LYPLAL1	Lyplal1
OR8D1	Olfr933
RP11-392E22.9	Ccdc144b
TAS2R20	Tas2r136
TAS2R50	Tas2r136
TAS2R46	Tas2r136
TAS2R43	Tas2r136
TAS2R30	Tas2r136
TAS2R19	Tas2r136
TAS2R31	Tas2r136
L1CAM	L1cam
C15orf59	6030419C18Rik
TRAV13-1	Trav10d
TRAV13-2	Trav10d
SRM	Srm
CXorf36	4930578C19Rik
PPP1R15B	Ppp1r15b
EIF3J	Eif3j2
AC006116.20	Gm6792
BRPF1	Brpf1
ORC6	Orc6
SGO1	Sgol1
GIT1	Git1
DERA	Dera
TAS2R14	Tas2r117
DCUN1D1	Dcun1d1
DPEP2	Dpep2
HFE2	Hfe2
PRCD	Gm11744
SHE	She
NDST3	Ndst3
WNK4	Wnk4
ADCY1	Adcy1
BOLL	Boll
SCTR	Sctr
ZBTB12	Zbtb12
GLG1	Glg1
RGS2	Rgs2
VANGL2	Vangl2
ZDHHC13	Zdhhc13
CNOT8	Cnot8
CYGB	Cygb
XXbac-BPG116M5.17	Gm20547
CFB	Gm20547
MYBPC1	Mybpc1
NEFM	Nefm
SLC4A8	Slc4a8
TMCO5A	Tmco5
VPS35	Vps35
COQ9	Coq9
TMEM147	Tmem147
NEFL	Nefl
ROMO1	Romo1
C2	C2
SCGB3A2	Scgb3a2
ZSWIM2	Zswim2
ITGBL1	Itgbl1
CUL4B	Cul4b
RBM12	Rbm12
ODAM	Odam
DPEP3	Dpep3
C1orf50	AU022252
TXNIP	Txnip
RHOF	Rhof
GSG1L	Gsg1l
POLB	Polb
LILRB5	Lilra6
LILRB4	Lilra6
LILRA6	Lilra6
LILRB3	Lilra6
LILRA5	Lilra6
LILRA4	Lilra6
DUS2	Dus2
MCCC1	Mccc1
RBSN	Rbsn
ZNF639	Zfp639
ANK3	Ank3
ORC1	Orc1
DIAPH1	Diaph1
RP5-994D16.11	4930538K18Rik
TAS2R14	Tas2r123
KIAA0355	4931406P16Rik
ATP6V0B	Atp6v0b
NAPA	Napa
TAS2R14	Tas2r116
RFWD2	Rfwd2
OR4A16	Olfr1240
OR4A8	Olfr1240
OR4A5	Olfr1240
DDX28	Ddx28
TRIM43	Trim43c
LILRB5	Gm14548
LILRB4	Gm14548
LILRA6	Gm14548
LILRB3	Gm14548
LILRA5	Gm14548
LILRA4	Gm14548
OR4A16	Olfr1241
OR4A8	Olfr1241
OR4A5	Olfr1241
NOL11	Nol11
LILRB5	Pira2
LILRB4	Pira2
LILRA6	Pira2
LILRB3	Pira2
LILRA5	Pira2
LILRA4	Pira2
APOC1	Apoc1
TRAV9-2	Trav6d-6
SPIN2A	Gm20806
SPIN2B	Gm20806
XXbac-BPG116M5.17	Cfb
CFB	Cfb
TAS2R14	Tas2r110
AMY1C	Amy2a5
AMY1A	Amy2a5
AMY1B	Amy2a5
AMY2A	Amy2a5
AMY2B	Amy2a5
TAS2R14	Tas2r113
KPNB1	Kpnb1
OR4A16	Olfr1242
OR4A8	Olfr1242
OR4A5	Olfr1242
C2orf72	2810459M11Rik
ZNF382	Zfp382
C1orf35	2310033P09Rik
FREM3	Frem3
TAS2R14	Tas2r125
RBM39	Rbm39
MYO3A	Myo3a
UGGT2	Uggt2
TMED5	Tmed5
AGO2	Ago2
SRSF12	Srsf12
NHLRC4	Nhlrc4
ESPN	Espn
HRH1	Hrh1
LILRB5	Pirb
LILRB4	Pirb
LILRA6	Pirb
LILRB3	Pirb
LILRA5	Pirb
LILRA4	Pirb
NLRP6	Nlrp6
HSPG2	Hspg2
TRAV10	Trav11d
METTL26	Mettl26
IL12RB1	Il12rb1
CD276	Cd276
GPR162	Gpr162
TGFB2	Tgfb2
AMY1C	Amy2a4
AMY1A	Amy2a4
AMY1B	Amy2a4
AMY2A	Amy2a4
AMY2B	Amy2a4
CHRAC1	Chrac1
GNAI1	Gnai1
TMEM47	Tmem47
TRAV12-3	Trav7d-5
TRAV12-1	Trav7d-5
TRAV12-2	Trav7d-5
RALGDS	Ralgds
TRAV18	Trav12d-1
ECSIT	Ecsit
FAM184B	Fam184b
FCGR3A	Fcgr4
FCGR3B	Fcgr4
ARHGAP4	Arhgap4
NDUFA8	Ndufa8
POLDIP2	Poldip2
CTC-281F24.5	Gm43951
LINC01420	2210013O21Rik
SPOP	Spop
KIAA0753	4933427D14Rik
SPRED1	Spred1
OR2AT4	Olfr520
MPP4	Mpp4
ARRDC4	Arrdc4
LAMTOR3	Lamtor3
OR2AT4	Olfr521
IL6R	Il6ra
ELAVL3	Elavl3
LYRM1	Lyrm1
GSG2	Gsg2
GTPBP3	Gtpbp3
GRB10	Grb10
ITGAE	Itgae
FBXL12	Fbxl12
MS4A10	Ms4a10
LILRB5	Gm15922
LILRB4	Gm15922
LILRA6	Gm15922
LILRB3	Gm15922
LILRA5	Gm15922
LILRA4	Gm15922
RNF103	Rnf103
TRAV13-1	Trav5-4
TRAV13-2	Trav5-4
SCARF1	Scarf1
CABS1	Cabs1
LILRB5	Gm15448
LILRB4	Gm15448
LILRA6	Gm15448
LILRB3	Gm15448
LILRA5	Gm15448
LILRA4	Gm15448
CTC-398G3.6	RP23-123D6.10
CHST6	Chst5
CHST5	Chst5
CSN3	Csn3
ZNF653	Zfp653
GNB5	Gnb5
CNTLN	Cntln
GEMIN5	Gemin5
PGGHG	Pgghg
SLFN13	Slfn8
SLFN11	Slfn8
MAP3K6	Map3k6
RP11-638I8.1	Gm11985
ARF1	Arf1
ODF2	Odf2
MORN5	Morn5
TBC1D9B	Tbc1d9b
RGS13	Rgs13
CD4	Cd4
UBL5	Ubl5
SPOPL	Spopl
CSMD2	Csmd2
PLVAP	Plvap
DCUN1D3	Dcun1d3
TRAV22	Trav13d-1
TRAV23DV6	Trav14d-1
CHST10	Chst10
ST6GALNAC2	St6galnac2
CYP11B2	Cyp11b2
CYP11B1	Cyp11b2
KDM5C	Kdm5c
SDPR	Sdpr
WNT3A	Wnt3a
HPSE	Hpse
MXD3	Mxd3
CD200R1L	Cd200r3
CD200R1	Cd200r3
JUP	Jup
MAP9	Map9
POPDC3	Popdc3
IRAK1BP1	Irak1bp1
DNAH3	Dnah3
HSF4	Hsf4
ZNF638	Zfp638
CALB1	Calb1
TM7SF3	Tm7sf3
CWC22	Gm13698
ARCN1	Arcn1
RNF103-CHMP3	Chmp3
CHMP3	Chmp3
CWC22	Gm13693
TNFAIP8	Tnfaip8
FCGR2C	Fcgr3
FCGR2A	Fcgr3
FCGR2B	Fcgr3
HMGB4	Hmgb4
FAM98B	Fam98b
TRAV9-2	Trav6-7-dv9
